summary: total num 11582 | acc 0.69263
model: [glm-4-9b-chat-hf]

subject: strict_5_shot_agronomy    | num: 169   | acc: 0.62130
subject: strict_5_shot_anatomy     | num: 148   | acc: 0.63514
subject: strict_5_shot_ancient_chinese | num: 164   | acc: 0.40244
subject: strict_5_shot_arts        | num: 160   | acc: 0.86875
subject: strict_5_shot_astronomy   | num: 165   | acc: 0.42424
subject: strict_5_shot_business_ethics | num: 209   | acc: 0.64115
subject: strict_5_shot_chinese_civil_service_exam | num: 160   | acc: 0.67500
subject: strict_5_shot_chinese_driving_rule | num: 131   | acc: 0.77099
subject: strict_5_shot_chinese_food_culture | num: 136   | acc: 0.61029
subject: strict_5_shot_chinese_foreign_policy | num: 107   | acc: 0.74766
subject: strict_5_shot_chinese_history | num: 323   | acc: 0.84211
subject: strict_5_shot_chinese_literature | num: 204   | acc: 0.68627
subject: strict_5_shot_chinese_teacher_qualification | num: 179   | acc: 0.85475
subject: strict_5_shot_clinical_knowledge | num: 237   | acc: 0.62869
subject: strict_5_shot_college_actuarial_science | num: 106   | acc: 0.34906
subject: strict_5_shot_college_education | num: 107   | acc: 0.86916
subject: strict_5_shot_college_engineering_hydrology | num: 106   | acc: 0.58491
subject: strict_5_shot_college_law | num: 108   | acc: 0.66667
subject: strict_5_shot_college_mathematics | num: 105   | acc: 0.33333
subject: strict_5_shot_college_medical_statistics | num: 106   | acc: 0.61321
subject: strict_5_shot_college_medicine | num: 273   | acc: 0.74725
subject: strict_5_shot_computer_science | num: 204   | acc: 0.71569
subject: strict_5_shot_computer_security | num: 171   | acc: 0.78947
subject: strict_5_shot_conceptual_physics | num: 147   | acc: 0.82313
subject: strict_5_shot_construction_project_management | num: 139   | acc: 0.55396
subject: strict_5_shot_economics   | num: 159   | acc: 0.78616
subject: strict_5_shot_education   | num: 163   | acc: 0.75460
subject: strict_5_shot_electrical_engineering | num: 172   | acc: 0.59884
subject: strict_5_shot_elementary_chinese | num: 252   | acc: 0.69048
subject: strict_5_shot_elementary_commonsense | num: 198   | acc: 0.66162
subject: strict_5_shot_elementary_information_and_technology | num: 238   | acc: 0.86134
subject: strict_5_shot_elementary_mathematics | num: 230   | acc: 0.42174
subject: strict_5_shot_ethnology   | num: 135   | acc: 0.66667
subject: strict_5_shot_food_science | num: 143   | acc: 0.64336
subject: strict_5_shot_genetics    | num: 176   | acc: 0.59091
subject: strict_5_shot_global_facts | num: 149   | acc: 0.67785
subject: strict_5_shot_high_school_biology | num: 169   | acc: 0.76331
subject: strict_5_shot_high_school_chemistry | num: 132   | acc: 0.64394
subject: strict_5_shot_high_school_geography | num: 118   | acc: 0.73729
subject: strict_5_shot_high_school_mathematics | num: 164   | acc: 0.39634
subject: strict_5_shot_high_school_physics | num: 110   | acc: 0.62727
subject: strict_5_shot_high_school_politics | num: 143   | acc: 0.81818
subject: strict_5_shot_human_sexuality | num: 126   | acc: 0.72222
subject: strict_5_shot_international_law | num: 185   | acc: 0.61622
subject: strict_5_shot_journalism  | num: 172   | acc: 0.61628
subject: strict_5_shot_jurisprudence | num: 411   | acc: 0.75669
subject: strict_5_shot_legal_and_moral_basis | num: 214   | acc: 0.91121
subject: strict_5_shot_logical     | num: 123   | acc: 0.61789
subject: strict_5_shot_machine_learning | num: 122   | acc: 0.69672
subject: strict_5_shot_management  | num: 210   | acc: 0.83333
subject: strict_5_shot_marketing   | num: 180   | acc: 0.73889
subject: strict_5_shot_marxist_theory | num: 189   | acc: 0.83598
subject: strict_5_shot_modern_chinese | num: 116   | acc: 0.70690
subject: strict_5_shot_nutrition   | num: 145   | acc: 0.66897
subject: strict_5_shot_philosophy  | num: 105   | acc: 0.67619
subject: strict_5_shot_professional_accounting | num: 175   | acc: 0.86286
subject: strict_5_shot_professional_law | num: 211   | acc: 0.60190
subject: strict_5_shot_professional_medicine | num: 376   | acc: 0.61968
subject: strict_5_shot_professional_psychology | num: 232   | acc: 0.82328
subject: strict_5_shot_public_relations | num: 174   | acc: 0.65517
subject: strict_5_shot_security_study | num: 135   | acc: 0.74815
subject: strict_5_shot_sociology   | num: 226   | acc: 0.73009
subject: strict_5_shot_sports_science | num: 165   | acc: 0.65455
subject: strict_5_shot_traditional_chinese_medicine | num: 185   | acc: 0.69730
subject: strict_5_shot_virology    | num: 169   | acc: 0.71598
subject: strict_5_shot_world_history | num: 161   | acc: 0.83230
subject: strict_5_shot_world_religions | num: 160   | acc: 0.72500
